[SliceTest] Result:
[ChildDescriptor childPointer: 0, validMask: 10011100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01011100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11010100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01110100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 722, validMask: 01011100, nonLeafMask: 01011100]
[ChildDescriptor childPointer: 0, validMask: 01010100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 738, validMask: 11010100, nonLeafMask: 11010100]
[ChildDescriptor childPointer: 0, validMask: 01110100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01011100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01010100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11010100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01110100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01011100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01010100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11010100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01110100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01011100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01010100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11010100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01110100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01011100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01010100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11010100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01110100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01011100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01010100, nonLeafMask: 00000000]
